Id,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-net,hours-per-week,native-country,target
12001,37, Self-emp-not-inc,75050,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,55, United-States,0
12002,31, Private,182896,9, Never-married, Craft-repair, Not-in-family, White, Female,0,40, United-States,0
12003,22, Private,188274,9, Never-married, Transport-moving, Own-child, White, Male,0,40, United-States,0
12004,25, Private,211497,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,40, United-States,0
12005,46, Private,113806,8, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,40, ?,1
12006,47, Local-gov,172246,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,60, United-States,1
12007,48, Local-gov,219962,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,40, United-States,0
12008,36, ?,186815,14, Married-civ-spouse, ?, Husband, White, Male,0,50, United-States,0
12009,26, ?,132749,13, Never-married, ?, Not-in-family, White, Female,0,80, United-States,0
12010,28, Private,209801,5, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,40, United-States,0
12011,20, State-gov,178517,10, Never-married, Farming-fishing, Not-in-family, White, Male,0,40, United-States,0
12012,51, Private,169364,10, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,40, Ireland,0
12013,32, Federal-gov,164707,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,40, United-States,1
12014,55, Private,144084,6, Married-civ-spouse, Other-service, Husband, White, Male,0,40, United-States,0
12015,41, Local-gov,133692,13, Divorced, Protective-serv, Unmarried, White, Female,0,40, United-States,0
12016,46, Private,184169,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,7688,35, United-States,1
12017,45, Self-emp-inc,145290,9, Married-civ-spouse, Other-service, Husband, White, Male,0,40, United-States,1
12018,65, Local-gov,24824,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,40, United-States,0
12019,45, Private,178319,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,50, United-States,1
12020,22, Private,235829,10, Never-married, Adm-clerical, Own-child, White, Female,0,40, United-States,0
12021,22, ?,196280,10, Never-married, ?, Own-child, White, Female,0,20, United-States,0
12022,42, Self-emp-not-inc,54202,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,50, United-States,1
